"variable","correlation_with_log_wp","abs_correlation_with_log_wp","variable_group"
"log_prev_wp",0.7677,0.7677,"Lagged / engineered"
"log_prev_poly",0.0672,0.0672,"Lagged / engineered"
"ACTIVE_PRODUCERS",0.0651,0.0651,"Agency characteristic"
"MONTHS",0.1599,0.1599,"Reporting-period diagnostic"
"AGENCY_APPOINTMENT_YEAR",-0.0279,0.0279,"Agency characteristic"
"MAX_AGE",0.0328,0.0328,"Agency characteristic"
"MIN_AGE",-0.0663,0.0663,"Agency characteristic"
"PL_START_YEAR",-0.0507,0.0507,"Operational history"
"PL_END_YEAR",-0.0901,0.0901,"Operational history"
"CL_START_YEAR",-0.0092,0.0092,"Operational history"
"CL_END_YEAR",0.1009,0.1009,"Operational history"
"COMMISIONS_START_YEAR",-0.0415,0.0415,"Operational history"
"COMMISIONS_END_YEAR",-0.0997,0.0997,"Operational history"
"ACTIVITY_NOTES_START_YEAR",0.0514,0.0514,"Operational history"
"ACTIVITY_NOTES_END_YEAR",0.0843,0.0843,"Operational history"
"CL_BOUND_CT_MDS",0.058,0.058,"Quote/bind platform"
"CL_QUO_CT_MDS",0.0519,0.0519,"Quote/bind platform"
"CL_BOUND_CT_SBZ",0.0557,0.0557,"Quote/bind platform"
"CL_QUO_CT_SBZ",0.0594,0.0594,"Quote/bind platform"
"CL_BOUND_CT_eQT",0.0441,0.0441,"Quote/bind platform"
"CL_QUO_CT_eQT",0.0515,0.0515,"Quote/bind platform"
"PL_BOUND_CT_ELINKS",0.0217,0.0217,"Quote/bind platform"
"PL_QUO_CT_ELINKS",0.0209,0.0209,"Quote/bind platform"
"PL_BOUND_CT_PLRANK",0.0125,0.0125,"Quote/bind platform"
"PL_QUO_CT_PLRANK",0.0213,0.0213,"Quote/bind platform"
"PL_BOUND_CT_eQTte",0.0515,0.0515,"Quote/bind platform"
"PL_QUO_CT_eQTte",0.0605,0.0605,"Quote/bind platform"
"PL_BOUND_CT_APPLIED",0.0079,0.0079,"Quote/bind platform"
"PL_QUO_CT_APPLIED",0.0064,0.0064,"Quote/bind platform"
"PL_BOUND_CT_TRANSACTNOW",0.0045,0.0045,"Quote/bind platform"
"PL_QUO_CT_TRANSACTNOW",0.0049,0.0049,"Quote/bind platform"
"PREV_RETENTION_RATIO",0.0535,0.0535,"Lagged / engineered"
"PREV_LOSS_RATIO",-0.0014,0.0014,"Lagged / engineered"
"AVG_PREMIUM_PER_POLICY_LAST_YEAR",0.3201,0.3201,"Lagged / engineered"
"log_avg_prem_per_policy_ly",0.4848,0.4848,"Lagged / engineered"
