"AGENCY_ID","log_n_train_rows","n_train_years_active","mean_log_wp_train","mean_log_prev_wp_train","mean_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train_clean","n_products_train","n_states_train","product_hhi","state_hhi","pl_share_train","slope_mean_log_wp_by_year","n_train_rows","has_trend_support","n_years_for_trend"
3,5.59842195899838,7,8.6279505465729,8.76074184448355,2.59739667466119,2.09217357125644,2.59223531063735,3.04729545330134,14,21,4,0.0555686073990133,0.415071654620583,0.509293680297398,-0.0389741806365355,269,TRUE,7
11,3.58351893845611,4,6.63985510028577,6.97209924830511,1.00174888288234,1.45019012422269,2.3402255547088,1.73351339245946,56,10,1,0.108571428571429,1,0.257142857142857,-0.365406108424912,35,TRUE,4
12,3.3322045101752,5,7.96458315183509,8.82206974093962,6.28812042592592,2.81376263498842,5.45703005116778,3.31772598571612,29,5,2,0.212620027434842,0.747599451303155,1,-0.184589479149607,27,TRUE,5
14,0.693147180559945,1,7.85399308722424,11.5129254649702,11.5129254649702,0,0,0,15.5,1,1,1,1,0,0,1,FALSE,1
16,4.94875989037817,7,7.68348877238279,7.84397642315541,2.47933406479176,1.85599643330012,2.27697966799272,3.05671666782849,45,19,2,0.0640816326530612,0.64734693877551,0.5,0.0293201690470322,140,TRUE,7
32,4.35670882668959,5,8.07491662941775,8.35484761802769,3.42260212558975,1.87622770195997,2.09801397345162,2.9510530607168,49,18,2,0.0588632147073706,0.901501096306291,0.662337662337662,-0.327524276652621,77,TRUE,5
36,4.30406509320417,7,7.44524663770262,7.55372092792362,0.586978751115442,1.10414309953521,1.92454319826635,1.36366267233105,9,11,1,0.0921373616063051,1,0.164383561643836,-0.0731021003492638,73,TRUE,7
37,2.39789527279837,7,8.010101544521,8.11236495872543,3.88239393959397,0.288883193503325,0.256816236391101,0.707048352144873,15,2,1,0.58,1,1,-0.020889197473665,10,TRUE,7
46,4.87519732320115,7,8.99112537139496,9.09410146985669,2.67383551703302,1.90911370676435,3.05213615810196,2.91844183369656,50,20,1,0.0527810650887574,1,0.515384615384615,-0.0370962364068743,130,TRUE,7
61,3.58351893845611,5,8.69933480555604,9.25277657348966,2.30258509299405,1.53321564364792,2.27727209782011,4.67240250415067,7,7,1,0.142857142857143,1,0,0.103001600763423,35,TRUE,5
84,3.25809653802148,5,7.94678444603094,8.64382281558507,5.61496428585767,2.02774917469867,3.52092801446885,3.36176162845429,17,5,1,0.2,1,1,0.168448466467262,25,TRUE,5
87,4.56434819146784,7,7.78747416647476,7.99101939703737,3.62112796332834,2.05999692601088,1.41293342536272,3.34709112649721,66,21,1,0.0610526315789474,1,0.652631578947368,-0.121794797910121,95,TRUE,7
96,4.43081679884331,7,7.85800750073861,7.99480903481661,1.673850806702,1.32292054906385,1.62661004629286,2.11091837385723,24,12,1,0.0834663957032951,1,0.409638554216867,-0.0946537496943762,83,TRUE,7
102,4.36944785246702,4,7.22296142177043,8.79370321436018,5.47142142072747,2.24541092954918,2.19355037209584,5.17460575692738,13,18,3,0.074293228139382,0.491452991452991,0.435897435897436,0.492967340922519,78,TRUE,4
111,0.693147180559945,1,7.2283884515736,6.50279004591562,0,0,0,0,8,1,1,1,1,0,0,1,FALSE,1
148,4.46590811865458,7,8.20653477526825,8.21724781528501,1.03821224565485,1.53348158160329,2.62094204762694,2.0624238086652,43,16,1,0.0754461871281774,1,0.267441860465116,0.0202091919923652,86,TRUE,7
152,4.84418708645859,7,7.92036331568167,8.02260274901266,2.64361292122317,2.05828332443738,2.47165036967567,3.13844617950523,19,21,1,0.0534139581758629,1,0.5,-0.0767624860520432,126,TRUE,7
