"AGENCY_ID","scaled_log_n_train_rows","scaled_n_train_years_active","scaled_mean_log_wp_train","scaled_mean_log_prev_wp_train","scaled_mean_log_prev_poly_train","scaled_sd_log_wp_train","scaled_iqr_log_wp_train","scaled_sd_log_prev_poly_train","scaled_mean_active_producers_train_clean","scaled_n_products_train","scaled_n_states_train","scaled_product_hhi","scaled_state_hhi","scaled_pl_share_train","scaled_slope_mean_log_wp_by_year"
3,1.369592,0.653219,0.873725,0.175743,-0.427645,0.430072,0.055892,-0.013531,-0.359699,1.180354,2.317516,-0.489467,-2.244048,0.162159,-0.064791
11,-0.303582,-0.818285,-1.086181,-1.306324,-1.040313,-0.681114,-0.189507,-0.946642,1.59054,-0.505482,-0.642924,-0.249715,0.628811,-0.73186,-1.402018
12,-0.512273,-0.327783,0.219763,0.226559,0.98945,1.679045,2.845539,0.178542,0.336815,-1.271771,0.34389,0.220935,-0.610847,1.901993,-0.661304
14,-2.703744,-2.289789,0.110741,2.456199,2.995574,-3.191196,-2.468346,-2.177866,-0.290047,-1.884803,-0.642924,3.782548,0.628811,-1.643578,0.094867
16,0.830114,0.653219,-0.057345,-0.583887,-0.472977,0.021282,-0.251094,-0.006839,1.079763,0.873839,0.34389,-0.450959,-1.103235,0.129208,0.214977
32,0.338475,-0.327783,0.328532,-0.16058,-0.110798,0.056299,-0.425366,-0.081887,1.2655,0.720581,0.34389,-0.474564,0.145036,0.704787,-1.246836
36,0.294759,0.653219,-0.29221,-0.824393,-1.199568,-1.280074,-0.594286,-1.209327,-0.59187,-0.352224,-0.642924,-0.324053,0.628811,-1.060744,-0.204596
37,-1.288123,0.653219,0.264636,-0.361501,0.065744,-2.691179,-2.218266,-1.675686,-0.313264,-1.731545,-0.642924,1.882732,0.628811,1.901993,0.009294
46,0.769027,0.653219,1.23175,0.451964,-0.398296,0.113221,0.503729,-0.105049,1.311934,1.027096,-0.642924,-0.502076,0.628811,0.183755,-0.057098
61,-0.303582,-0.327783,0.944097,0.583442,-0.540842,-0.537408,-0.25081,1.140698,-0.684738,-0.965256,-0.642924,-0.094628,0.628811,-1.643578,0.516812
84,-0.573812,-0.327783,0.202217,0.078864,0.730984,0.318562,0.960224,0.209818,-0.220396,-1.271771,-0.642924,0.16385,0.628811,1.901993,0.784915
87,0.510898,0.653219,0.045166,-0.462048,-0.034572,0.374379,-1.092475,0.199399,2.054882,1.180354,-0.642924,-0.464661,0.628811,0.670374,-0.404065
96,0.400014,0.653219,0.114699,-0.458908,-0.782251,-0.9014,-0.884404,-0.678591,0.104644,-0.198966,-0.642924,-0.363275,0.628811,-0.191175,-0.292882
102,0.349053,-0.818285,-0.511343,0.203055,0.675869,0.695305,-0.332335,1.497387,-0.406133,0.720581,1.330703,-0.404768,-1.868903,-0.098073,2.114306
111,-2.703744,-2.289789,-0.505993,-1.695193,-1.424946,-3.191196,-2.468346,-2.177866,-0.638304,-1.884803,-0.642924,3.782548,0.628811,-1.643578,0.094867
148,0.429154,0.653219,0.458284,-0.274595,-1.026312,-0.536948,0.083845,-0.713034,0.986894,0.414065,-0.642924,-0.399553,0.628811,-0.695344,0.177654
