"AGENCY_ID","log_n_train_rows","n_train_years_active","n_train_rows","has_trend_support","n_years_for_trend","mean_log_wp_train","median_log_wp_train","mean_log_prev_wp_train","median_log_prev_wp_train","mean_log_prev_poly_train","median_log_prev_poly_train","sd_log_wp_train","iqr_log_wp_train","sd_log_prev_poly_train","mean_active_producers_train","agency_appointment_year","mean_max_age_train","mean_min_age_train","n_products_train","n_states_train","n_vendors_train","top_product_share","product_hhi","top_state_share","state_hhi","top_vendor_share","vendor_hhi","pl_share_train","cl_share_train","slope_mean_log_wp_by_year"
3,5.59842195899838,7,269,TRUE,7,8.6279505465729,8.42132965854034,8.76074184448355,8.56939467327667,2.59739667466119,2.19722457733622,2.09217357125644,2.59223531063735,3.04729545330134,14,1957,85,48,21,4,1,0.0780669144981413,0.0555686073990133,0.50185873605948,0.415071654620583,1,1,0.509293680297398,0.490706319702602,-0.0389741806365355
11,3.58351893845611,4,35,TRUE,4,6.63985510028577,6.21660610108486,6.97209924830511,6.80350525760834,1.00174888288234,0,1.45019012422269,2.3402255547088,1.73351339245946,56,1998,87,36,10,1,1,0.114285714285714,0.108571428571429,1,1,1,1,0.257142857142857,0.742857142857143,-0.365406108424912
12,3.3322045101752,5,27,TRUE,5,7.96458315183509,6.88044574523855,8.82206974093962,8.86162509424911,6.28812042592592,5.51745289646471,2.81376263498842,5.45703005116778,3.31772598571612,29,2005,71,29,5,2,1,0.296296296296296,0.212620027434842,0.851851851851852,0.747599451303155,1,1,1,0,-0.184589479149607
14,0.693147180559945,1,1,FALSE,1,7.85399308722424,7.85399308722424,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,NA,0,NA,99999,99999,99999,99999,1,1,1,1,1,1,1,1,1,0,1,NA
16,4.94875989037817,7,140,TRUE,7,7.68348877238279,7.71739049775042,7.84397642315541,7.73380125684598,2.47933406479176,2.38108696739888,1.85599643330012,2.27697966799272,3.05671666782849,45,1998,74,29,19,2,1,0.1,0.0640816326530612,0.771428571428571,0.64734693877551,1,1,0.5,0.5,0.0293201690470322
32,4.35670882668959,5,77,TRUE,5,8.07491662941775,7.77708856622995,8.35484761802769,8.18025924822495,3.42260212558975,3.66356164612965,1.87622770195997,2.09801397345162,2.9510530607168,49,1963,95,38,18,2,1,0.103896103896104,0.0588632147073706,0.948051948051948,0.901501096306291,1,1,0.662337662337662,0.337662337662338,-0.327524276652621
36,4.30406509320417,7,73,TRUE,7,7.44524663770262,7.54231950210978,7.55372092792362,7.68790091978162,0.586978751115442,0,1.10414309953521,1.92454319826635,1.36366267233105,9,2000,77,47,11,1,1,0.0958904109589041,0.0921373616063051,1,1,1,1,0.164383561643836,0.835616438356164,-0.0731021003492638
37,2.39789527279837,7,10,TRUE,7,8.010101544521,7.94378262949524,8.11236495872543,8.03228150449864,3.88239393959397,4.11087386417331,0.288883193503325,0.256816236391101,0.707048352144873,15,2004,72,39,2,1,1,0.7,0.58,1,1,1,1,1,0,-0.020889197473665
46,4.87519732320115,7,130,TRUE,7,8.99112537139496,9.00427853842008,9.09410146985669,9.05658120630203,2.67383551703302,2.56494935746154,1.90911370676435,3.05213615810196,2.91844183369656,50,1985,70,27,20,1,1,0.0538461538461538,0.0527810650887574,1,1,1,1,0.515384615384615,0.484615384615385,-0.0370962364068743
61,3.58351893845611,5,35,TRUE,5,8.69933480555604,8.50426194203683,9.25277657348966,9.59512646887595,2.30258509299405,0,1.53321564364792,2.27727209782011,4.67240250415067,7,2008,69,32,7,1,1,0.142857142857143,0.142857142857143,1,1,1,1,0,1,0.103001600763423
84,3.25809653802148,5,25,TRUE,5,7.94678444603094,7.93951526066241,8.64382281558507,8.6298109097604,5.61496428585767,4.35670882668959,2.02774917469867,3.52092801446885,3.36176162845429,17,2008,73,28,5,1,1,0.2,0.2,1,1,1,1,1,0,0.168448466467262
87,4.56434819146784,7,95,TRUE,7,7.78747416647476,7.32778053842163,7.99101939703737,7.50598720174579,3.62112796332834,3.43398720448515,2.05999692601088,1.41293342536272,3.34709112649721,66,1986,79,26,21,1,1,0.0736842105263158,0.0610526315789474,1,1,1,1,0.652631578947368,0.347368421052632,-0.121794797910121
96,4.43081679884331,7,83,TRUE,7,7.85800750073861,7.68754335124385,7.99480903481661,7.83212131762323,1.673850806702,0,1.32292054906385,1.62661004629286,2.11091837385723,24,1960,96,42,12,1,1,0.0843373493975904,0.0834663957032951,1,1,1,1,0.409638554216867,0.590361445783133,-0.0946537496943762
